Lektion 1: Begrüßen und Vorstellen,,,,Lektion 2: Arbeit und Hobbies,,,,Lektion 3: Kommunikationshelfer,,,,Lektion 4: Sätze im Alltag,,,,Lektion 5: Lektion: Bestellen und bezahlen,,,,Lektion 6: Lektion: Reisen und Verkehr,,,,Lektion 7: Kommunikationshelfer 2: Diskursmarker,,,,Lektion 8: Lektion: Hilfe & Notfälle,,,,,Lektion 9: Persönliche Angaben,,,,Lektion 10: Wiederholung,,,,,Lektion 11: Lektion: Smalltalk: Aufenthalt & Pläne,,,,Lektion 12: Lektion: Smalltalk 2: Meinungen & Erfahrungen,,,,Lektion 13: Lektion: Freizeitaktivitäten,,,,Lektion 14: Lektion: Vorlieben und Meinungen,,,,Lektion 15: Lektion: Füllsätze und Floskeln,,,,Lektion 16: Lektion: Verabredungen und Wetter,,,,Lektion 17: Lektion: Termine und Zeitangaben,,,,Lektion 18: Lektion: Telekommunikation,,,,Lektion 19: Lektion: Befinden und Gesundheit,,,,Lektion 20: Lektion: Wohnen und Haushalt,,,,,,Anhang - Referenzlisten,,,,,
Grußformeln und Befinden – formell,,,,Willkommen.,Welcome.,Welcome.,,Ich spreche (noch) nicht so gut Deutsch.,I speak (still) not so good German.,I don't speak German very well (yet).,,Tab. 4.2: Bestätigung und Verneinung,,,,,,,,Tab. 6.1: Verkehrsmittel – „Ich nehme …“,,,,Pausenfüller,,,,Stopp!,Stop!,Stop!,,,Tab. 9.2: Wohnadresse und Kontaktdaten – Alternative,,,,,,,,,Wie lange bist du schon da?,How long are you already there?,How long have you been here?,,Mir gefällt das Essen/die Stadt/die Natur.,Me appeals the food/the city/the nature.,I like the food/the city/the nature.,,Ich spiele (nicht) gern(e) …,I play (not) gladly …,I (don’t) like to play …,,Isst du/essen Sie gern(e) Fleisch/Fisch/Gemüse?,Eat you/eat You gladly meat/fish/vegetable?,Do you like eating meat/fish/vegetables?,,Klar.,Clear.,Clear.,,… einen Kaffee trinken?,… a coffee drink?,… have a coffee?,,Das passt (leider nicht) gut.,That suits (unfortunately not) good.,That (unfortunately) doesn’t work well.,,,,,,Tab. 19.2: Allgemeines Befinden – differenzierte Angabe,,,,… in einem Hotel.,… in a hotel.,… in a hotel.,,,,"i, I",Ida,Insel,"x, X",Xanthippe,Xylophon
,,,,Tab. 2.2: Begrüßungen,,,,Ich spreche leider (noch) kein Deutsch.,I speak unfortunately (still) no German.,"I don't speak German (yet), unfortunately.",,Danke und Bitte,,,,Was darf ich Ihnen bringen?,What may I You bring?,What may I bring you?,,,,,,,,,,Stoppen Sie!,Stop You!,Stop!,,,Geburtsdatum und Geburtstag,,,,,,,,,Seit wann bist du schon da?,Since when are you already there?,Since when have you been here?,,Mir gefallen die Leute/die Parks/die Berge.,Me appeals the people/the parks/the mountains.,I like the people/the parks/the mountains.,,… Fußball.,… football.,… football.,,Magst du/mögen Sie Fleisch/Fisch/Gemüse?,Like you/like You meat/fish/vegetable?,Do you like meat/fish/vegetables?,,Wahrscheinlich.,Probable.,Probably.,,… etwas essen/trinken gehen?,… something eat/drink go?,… go out for food/a drink?,,Tab. 17.2: Terminvorschlag zusagen und ablehnen,,,,Auf Wiederhören.,On again-hear.,Goodbye.,,,,,,… in einem Hostel.,… in a hostel.,… in a hostel.,,,,"j, J",Julius,Jacke,"y, Y",Ypsilon,Yoga
Guten Tag.,Good day.,Good day.,,Alter und Hobbys – informell,,,,Tab. 3.2: Sprachkenntnisse – Variationen,,,,,,,,Was darf's denn sein?,What may'it then be?,What can I get you?,,Ich fahre mit …,I drive with …,I’m going by …,,Ähm …,Um …,Um …,,Pass auf!,[Watch out]!,Watch out!,,,,,,,,,,,,Tab. 11.2: Aufenthaltsdauer – regionale Variante,,,,Die Leute sind sehr freundlich.,The people are very friendly.,The people are very friendly.,,… Basketball.,… basketball.,… basketball.,,Ich esse gern(e) Fleisch/Fisch/Gemüse.,I eat gladly meat/fish/vegetable.,I like eating meat/fish/vegetables.,,Jein.,Yesno.,Yes and no.,,… spazieren gehen?,… stroll go?,… go for a walk?,,Wochenabschnitte,,,,Einen schönen Tag noch.,A beautiful day [ahead].,Have a nice day.,,Was hast du?,What have you?,What’s wrong?,,… in einer Ferienwohnung.,… in a holiday-flat.,… in a holiday flat.,,,,"k, K",Kaufmann,Kurs,"z, Z",Zacharias,Zug
Grüß Gott. [österr.],Greet God.,Greetings. [Austrian],,,,,,Verständnisprobleme,,,,Danke.,Thanks.,Thanks.,,Tab. 5.3: Bestellung aufnehmen,,,,… dem Bus.,… the bus.,… the bus.,,Hm …,Um …,Um …,,Passen Sie auf!,[Watch] You [out]!,Watch out!,,,Wann bist du/sind Sie geboren?,When are you/are You born?,When were you born?,,,,,,,,,,,Die Stadt ist sehr schön.,The city is very beautiful.,The city is very beautiful.,,… Volleyball.,… volleyball.,… volleyball.,,Ich mag Fleisch/Fisch/Gemüse.,I like meat/fish/vegetable.,I like meat/fish/vegetables.,,Ein bisschen.,A [little bit].,A little bit.,,… ins Kino gehen?,… in(to)-the cinema go?,… go to the cinema?,,,,,,Tab. 18.3: Telefonieren: Verabschiedung,,,,Was haben Sie?,What have You?,What’s wrong?,,… bei Freunden/Familie.,… by friends/family.,… with friends/family.,,,,"l, L",Ludwig,Lampe,"ä, Ä",Ärger,Äpfel
Wie geht es Ihnen?,How goes’it You?,How are you?,,Wie alt bist du?,How old are you?,How old are you?,,,,,,Bitte.,Please.,Please./You're welcome.,,,,,,… dem Zug.,… the train.,… the train.,,Gute Frage …,Good question …,Good question …,,Tab. 8.2: Warnrufe,,,,,Ich bin am zwölften Februar 1982 geboren.,I am at-the twelfth February 1982 born.,"I was born on February 12, 1982.",,,,,,,Wie lange bleibst du in Deutschland?,How long stay you in Germany?,How long are you staying in Germany?,,Tab. 12.2: Gefallen ausdrücken,,,,… Computerspiele.,… computer-games.,… computer games.,,Ich esse kein Fleisch/keinen Fisch/kein Gemüse.,I eat no meat/no fish/no vegetable.,I don’t eat meat/fish/vegetables.,,Mehr oder weniger.,More or less.,More or less.,,Tab. 16.2: Aktivitäten vorschlagen – „Wollen wir …?“,,,,Unter der Woche arbeite ich.,Under the week work I.,I work during the week.,,,,,,Was fehlt dir?,What [is missing] you?,What’s the matter?,,Tab. 20.2: vorübergehende Wohnsituation beschreiben,,,,,,"m, M",Martha,Maus,"ö, Ö",Ökonom,Öl
Und Ihnen?,And You?,And you?,,Ich bin … Jahre alt.,I am … years old.,I am … years old.,,Ich verstehe (das) nicht.,I understand (this/that) not.,I don't understand (this/that).,,Gern(e).,Gladly.,You're welcome.,,Die Speisekarte bitte.,The dish-card please.,"The menu, please.",,… dem Fahrrad.,… the drive-wheel.,… the bike.,,Ich weiß nicht genau …,I know not exact …,I don't know exactly …,,Hilfe rufen,,,,,Was ist dein/Ihr Geburtsdatum?,What is your/Your birth-date?,What is your date of birth?,,,,,,,Wie lange bleiben Sie in Deutschland?,How long stay You in Germany?,How long are you staying in Germany?,,Über das Deutschlernen sprechen,,,,… Brettspiele.,… board-games.,… board games.,,Ich esse Fleisch/Fisch/Gemüse nicht so gern(e).,I eat meat/fish/vegetable not so gladly.,I don’t really like eating meat/fish/vegetables.,,Nicht unbedingt.,Not unconditional.,Not necessarily.,,,,,,Am Wochenende habe ich frei.,At-the week-end have I free.,I’m free on the weekend.,,Danke für Ihre Hilfe.,Thanks for Your help.,Thank you for your help.,,Was fehlt Ihnen?,What [is missing] You?,What’s the matter?,,,,,,,,"n, N",Nordpol,Nase,"ü, Ü",Übermut,Über
Auf Wiedersehen.,On again-see.,Goodbye.,,Hast du Hobbys?,Have you hobbies?,Do you have hobbies?,,Ich habe das nicht verstanden.,I have this/that not understood.,I didn't understand this/that.,,"Tab. 4.3: danke, bitte, gern(e)",,,,Eine Cola bitte.,A cola please.,"A cola, please.",,… dem Auto.,… the car.,… the car.,,Lass mich (kurz) überlegen …,Let me (short) [think] …,Let me think (for a moment) …,,,,,,,Mein Geburtsdatum ist der zwölfte Februar.,My birth-date is the twelfth February.,My date of birth is February 12th.,,,,,,,Ich bleibe noch eine Woche/ein paar Tage.,I stay still one week/a couple days.,I am staying for another week/a few more days.,,,,,,Tab. 13.2: Hobbys nennen – „Ich spiele gerne …“,,,,Ich mag Fleisch/Fisch/Gemüse nicht so gern(e).,I like meat/fish/vegetable not so gladly.,I don’t really like meat/fish/vegetables.,,Nicht wirklich.,Not really.,Not really.,,Gehen wir einen Kaffee trinken?,Go we a coffee drink?,Shall we go have a coffee?,,Tab. 17.3: Wochenabschnitte,,,,Danke für Ihren Anruf.,Thanks for Your call.,Thank you for your call.,,Tab. 19.3: Beschwerden erfragen,,,,Wir wohnen …,We reside …,We live …,,,,"o, O",Otto,Oma,"ß, ẞ",Eszett,Straße
"Auf Wiederschauen. [südd., österr.]",On again-look.,"Goodbye. [South German, Austrian]",,Ich lese/koche gern(e).,I read/cook gladly.,I like reading/cooking.,,Ich habe dich/Sie nicht verstanden.,I have you/You not understood.,I didn't understand you.,,,,,,Ich nehme ... bitte.,I take ... please.,"I take ..., please.",,… der Straßenbahn.,… the tram.,… the tram.,,Lassen Sie mich (kurz) überlegen …,Let You me (short) [think] …,Let me think (for a moment) …,,Hilfe!,Help!,Help!,,,In welchem Jahr bist du/sind Sie geboren?,In which year are you/are You born?,In which year were you born?,,,,,,,Ich bleibe (für) eine Woche/ein paar Tage.,I stay (for) one week/a couple days.,I am staying (for) a week/a few days.,,Wie lange lernst du schon Deutsch?,How long learn you already German?,How long have you been learning German?,,,,,,Tab. 14.2: Vorlieben ausdrücken – Essen,,,,Gar nicht.,[Not at all].,Not at all.,,Gehen wir etwas essen/trinken?,Go we something eat/drink?,Shall we go out for food/a drink?,,Wochentage,,,,Danke für die Auskunft.,Thanks for the [information].,Thank you for the information.,,Psychisches Befinden ausdrücken,,,,Wir haben …,We have …,We have …,,,,Ref. 1: Alphabet und Buchstabiertafel,,,,,
Schönen Tag (noch).,Beautiful day ([ahead]).,Have a nice day.,,Was machst du in deiner Freizeit?,What make you in your free-time?,What do you do in your free time?,,Kannst du bitte langsamer sprechen?,Can you please slower speak?,Can you please speak more slowly?,,Danke schön.,Thanks beautiful.,Thank you very much.,,Ich hätte gern(e) ... bitte.,I [would have] gladly … please.,"I'd like to have …, please.",,… der U-Bahn.,… the metro.,… the metro.,,Ich habe das Wort vergessen.,I have the word forgotten.,I forgot the word.,,Hilf mir!,Help me!,Help me!,,,Ich bin 1982 geboren.,I am 1982 born.,I was born in 1982.,,,,,,,Ich weiß es noch nicht genau.,I know it still not exact.,I don’t know exactly yet.,,Wie lange lernen Sie schon Deutsch?,How long learn You already German?,How long have you been learning German?,,Ich mache (nicht) gern(e) …,I make (not) gladly …,I (don’t) enjoy doing …,,,,,,Tab. 15.2: Antworten zwischen „Ja“ und „Nein“,,,,Gehen wir spazieren?,Go we stroll?,Shall we go for a walk?,,,,,,Tab. 18.4: Telefonieren: Dank und Abschluss,,,,,,,,Tab. 20.3: Wohnsituation beschreiben – Wir-Form,,,,,,,,,,,
Tab. 1.2: Grußformeln und Befinden – formell,,,,Ich höre gern(e) Musik.,I hear gladly music.,I like listening to music.,,Könnten Sie bitte langsamer sprechen?,Could You please slower speak?,Could you please speak more slowly?,,Danke sehr.,Thanks very.,Thank you very much.,,Tab. 5.4: um etwas bitten und bestellen,,,,… einem Taxi.,… a taxi.,… a taxi.,,Wie sagt man das (noch mal)?,How says one this ([once again])?,How do you say this (again)?,,Helfen Sie mir!,Help You me!,Help me!,,,Tab. 9.3: Geburtsdatum,,,,,,,,,Tab. 11.3: Geplanter Aufenthalt,,,,Ich lerne noch nicht lange Deutsch.,I learn still not long German.,I haven’t been learning German for long.,,… Sport.,… sport.,… sports.,,Ich bin (kein) Vegetarier/Veganer.,I am (no) vegetarian/vegan.,I am (not) a vegetarian/vegan.,,Häufigkeit und Regelmäßigkeit ausdrücken,,,,Gehen wir ins Kino?,Go we in(to)-the cinema?,Shall we go to the cinema?,,Wie passt es Ihnen am Montag?,How suits it You at-the Monday?,How does Monday work for you?,,Formeller Schriftverkehr: Begrüßung,,,,Ich bin glücklich.,I am lucky.,I’m happy.,,Details zur Wohnsituation angeben,,,,,,,,,,,
Vorstellung – informell,,,,Ich mag Sport.,I like sport.,I like sports.,,Tab. 3.3: Verständnisprobleme,,,,Vielen Dank.,Many thanks.,Many thanks.,,,,,,Tab. 6.2: Verkehrsmittel – „Ich fahre mit …“,,,,Tab. 7.2: Pausenfüller,,,,Ich brauche Hilfe.,I need help.,I need help.,,,,,,,,,,,,Vergangene Reisen,,,,Ich lerne seit ein paar Wochen/Monaten.,I learn since a couple weeks/months.,I have been learning for a few weeks/months.,,… Yoga.,… yoga.,… yoga.,,Ich bin (keine) Vegetarierin/Veganerin.,I am (no) vegetarian-in/vegan-in.,I am (not) a (female) vegetarian/(female) vegan.,,,,,,Tab. 16.3: Aktivitäten vorschlagen – „Gehen wir …?“,,,,Haben Sie am Dienstag Zeit?,Have You at-the Tuesday time?,Are you free on Tuesday?,,,,,,Ich bin zufrieden.,I am content.,I’m content.,,,,,,,,Ländernamen / Country Names,,,,,
,,,,Tab. 2.3: Alter und Hobbys – informell,,,,,,,,Tab. 4.4: „danke“ – Variationen,,,,"Einmal …, bitte.","One-time …, please.","One …, please.",,,,,,Verständnissicherung,,,,Tab. 8.3: Hilfe rufen,,,,,Wann hast du/haben Sie Geburtstag?,When have you/have You birth-day?,When is your birthday?,,,,,,,,,,,Ich bin noch Anfänger.,I am still beginner.,I am still a beginner.,,… Musik.,… music.,… music.,,Tab. 14.3: Ernährungsweise angeben,,,,Immer.,Always.,Always.,,Uhrzeit ausmachen,,,,Und am Mittwoch?,And at-the Wednesday?,What about Wednesday?,,Sehr geehrter Herr …,Very honoured Mister …,Dear Mr. ...,,Ich bin verärgert.,I am upset.,I’m upset.,,Ich wohne im zweiten Stock.,I reside in-the second floor.,I live on the second floor.,,,,Deutschland/deutsch,Germany/German,Ich komme aus Deutschland.,,,
Wie heißt du?,How [are called] you?,What's your name?,,Alter und Hobbys – formell,,,,Entschuldigung?,Apology?,Pardon?,,,,,,Tab. 5.5: bestellen – Alternative,,,,Ich gehe zu Fuß.,I go to foot.,I’m going on foot.,,,,,,Hilfe anbieten,,,,,Ich habe am zwölften Februar Geburtstag.,I have at-the twelfth February birth-day.,My birthday is on the twelfth of February.,,,,,,,Warst du/waren Sie schon mal in Deutschland?,Were you/were You already once in Germany?,Have you ever been to Germany?,,Tab. 12.3: über das Deutschlernen sprechen,,,,… Reisen.,… journeys.,… travels.,,Lieblingsdinge nennen,,,,Fast immer.,Almost always.,Almost always.,,,,,,Was machen Sie am Donnerstag?,What make You at-the Thursday?,What are you doing on Thursday?,,Sehr geehrte Frau …,Very honoured Woman …,Dear Ms. ...,,Ich bin traurig.,I am sad.,I’m sad.,,Die Wohnung ist in der dritten Etage.,The flat is in the third floor.,The flat is on the third floor.,,,,Österreich/österreichisch,Austria/Austrian,Ich komme aus Österreich.,,,
Ich heiße …,I [am called] …,My name is …,,,,,,Wie bitte?,How please?,Pardon?,,Bitte schön.,Please beautiful.,Here you go./You're welcome.,,,,,,Ich fliege mit dem Flugzeug.,I fly with the airplane.,I’m flying.,,"Weißt du, was ich meine?","Know you, what I mean?","Do you know, what I mean?",,,,,,,Tab. 9.4: Geburtstag,,,,,,,,,"Nein, ich war noch nie in Deutschland.","No, I was still never in Germany.","No, I have never been to Germany.",,Über Deutschkenntnisse sprechen,,,,Tab. 13.3: Hobbys nennen – „Ich mache gerne …“,,,,,,,,Oft.,Often.,Often.,,Wann hast du Zeit?,When have you time?,When do you have time?,,Können Sie am Freitag kommen?,Can You at-the Friday come?,Can you come on Friday?,,"Sehr geehrte Damen und Herren, …","Very honoured ladies and misters, …","Dear ladies and gentlemen, ...",,Tab. 19.4: Psychisches Befinden ausdrücken,,,,Es gibt fünf Stockwerke.,It gives five floors.,There are five floors.,,,,die Schweiz/schweizerisch,Switzerland/Swiss,Ich komme aus der Schweiz.,,,
